[央视频道],#genre#
CCTV-12,http://111.192.169.51:8888/rtp/239.3.1.64:8124
CCTV-13,http://118.81.49.15:8084/rtp/226.0.2.165:9232
CCTV-13,http://171.117.142.71:8082/rtp/226.0.2.165:9232
CCTV-13,http://221.205.186.181:5555/rtp/226.0.2.165:9232
CCTV-13,http://111.192.169.51:8888/rtp/239.3.1.124:8128
CCTV-13,http://110.191.246.220:8888/udp/239.93.0.66:5140
CCTV-13,http://118.112.192.158:4022/udp/239.93.0.66:5140
CCTV-13,http://125.123.138.149:58888/rtp/233.50.201.246:5140
CCTV-14,http://118.81.49.15:8084/rtp/226.0.2.166:9240
CCTV-14,http://171.117.142.71:8082/rtp/226.0.2.166:9240
CCTV-14,http://110.191.246.220:8888/udp/239.93.1.29:6000
CCTV-14,http://111.192.169.51:8888/rtp/239.3.1.65:8132
CCTV-14,http://125.123.138.149:58888/rtp/233.50.201.124:5140
CCTV-14,http://118.112.192.158:4022/udp/239.93.1.29:6000
CCTV-15,http://110.191.246.220:8888/udp/239.93.0.103:5140
CCTV-15,http://111.192.169.51:8888/rtp/239.3.1.153:8136
CCTV-15,http://118.112.192.158:4022/udp/239.93.0.103:5140
CCTV-16,http://118.81.49.15:8084/rtp/226.0.2.169:9264
CCTV-16,http://171.117.142.71:8082/rtp/226.0.2.169:9264
CCTV-16,http://221.205.186.181:5555/rtp/226.0.2.169:9264
CCTV-17,http://118.81.49.15:8084/rtp/226.0.2.170:9272
CCTV-17,http://171.117.142.71:8082/rtp/226.0.2.170:9272
CCTV-17,http://221.205.186.181:5555/rtp/226.0.2.170:9272
CCTV-17,http://110.191.246.220:8888/udp/239.93.0.92:5140
CCTV-17,http://118.112.192.158:4022/udp/239.93.0.92:5140
CCTV-17,http://111.192.169.51:8888/rtp/239.3.1.151:8144

CCTV-世界地理,http://118.81.49.15:8084/rtp/226.0.2.222:9688
CCTV-世界地理,http://221.205.186.181:5555/rtp/226.0.2.222:9688
CCTV-世界地理,http://171.117.142.71:8082/rtp/226.0.2.222:9688
CCTV-兵器科技,http://118.81.49.15:8084/rtp/226.0.2.223:9696
CCTV-兵器科技,http://221.205.186.181:5555/rtp/226.0.2.223:9696
CCTV-兵器科技,http://171.117.142.71:8082/rtp/226.0.2.223:9696
CCTV-央视台球,http://118.81.49.15:8084/rtp/226.0.2.216:9640
CCTV-央视台球,http://221.205.186.181:5555/rtp/226.0.2.216:9640
CCTV-央视台球,http://171.117.142.71:8082/rtp/226.0.2.216:9640
CCTV-央视文化精品,http://118.81.49.15:8084/rtp/226.0.2.219:9664
CCTV-央视文化精品,http://221.205.186.181:5555/rtp/226.0.2.219:9664
CCTV-央视文化精品,http://171.117.142.71:8082/rtp/226.0.2.219:9664
CCTV-女性时尚,http://118.81.49.15:8084/rtp/226.0.2.226:9720
CCTV-女性时尚,http://171.117.142.71:8082/rtp/226.0.2.226:9720
CCTV-女性时尚,http://221.205.186.181:5555/rtp/226.0.2.226:9720
CCTV-怀旧剧场,http://118.81.49.15:8084/rtp/226.0.2.224:9704
CCTV-怀旧剧场,http://221.205.186.181:5555/rtp/226.0.2.224:9704
CCTV-怀旧剧场,http://171.117.142.71:8082/rtp/226.0.2.224:9704
CCTV-电视指南,http://118.81.49.15:8084/rtp/226.0.2.218:9656
CCTV-电视指南,http://171.117.142.71:8082/rtp/226.0.2.218:9656
CCTV-电视指南,http://221.205.186.181:5555/rtp/226.0.2.218:9656
CCTV-第一剧场,http://118.81.49.15:8084/rtp/226.0.2.221:9680
CCTV-第一剧场,http://221.205.186.181:5555/rtp/226.0.2.221:9680
CCTV-第一剧场,http://171.117.142.71:8082/rtp/226.0.2.221:9680
CCTV-风云剧场,http://171.117.142.71:8082/rtp/226.0.2.227:9728
CCTV-风云剧场,http://118.81.49.15:8084/rtp/226.0.2.227:9728
CCTV-风云剧场,http://221.205.186.181:5555/rtp/226.0.2.227:9728
